category,Item No.,Description,Quantity,Unit Price (KES)
Triage,1,Vital Sign Monitor with trolly,1,80000
Triage,2,Set of waste bins,1,4500
Triage,4,Littmann Stethoscope Classic II,1,3800
Triage,5,Height & Weight Machine,1,9500
Triage,6,Standard Wheelchair,1,11000
Triage,7,Waiting bay seats,8,16500
Emergency Room,1,Double crank ABS beds,2,33000
Emergency Room,2,Instrument Trolley (2 Shelves),1,14000
Emergency Room,3,Crash cart,1,65000
Emergency Room,4,LED Examination Light,1,13000
Emergency Room,5,12 Channel ECG Machine,1,150000
Emergency Room,6,Patient Monitor (5 Parameters) with wall mount,1,110000
Emergency Room,7,Jumper Fetal Doppler,1,8500
Emergency Room,8,Waste Bin set,1,4500
Emergency Room,9,Nebulization Machine,1,4500
Procedure Room,1,Adult Ambu Bag,1,3500
Procedure Room,2,Paediatric Ambu Bag,1,3500
Procedure Room,3,Examination Couch,1,13500
Procedure Room,4,Nebulization Machine,1,4500
Procedure Room,5,IUCD Insertion Pack,1,6500
Procedure Room,6,Dressing Set,1,6500
Procedure Room,7,Suture Set,1,4500
Procedure Room,8,Two Bottle Suction Machine,1,25000
Procedure Room,9,LED Examination Light,1,13500
Procedure Room,10,Implant Removal Set,1,6500
Consultation Room,1,Littmann Stethoscope Classic II,1,3800
Consultation Room,2,Digital Thermometer,1,400
Consultation Room,3,Waste bins set,1,4500
Consultation Room,4,Examination Couch,1,13500
Consultation Room,5,Double X-Ray Viewer,1,19000
Consultation Room,6,Stepping Stool,1,3500
Consultation Room,7,Diagnostic ENT Kit,1,8000
Consultation Room,8,LED Examination Light,1,13500
X-Ray Room,1,"630mA X-Ray Machine with DR ,Printer, Power stabilizer",1,5600000
X-Ray Room,2,Lead Glass (50 cm x 50 cm),1,130000
X-Ray Room,3,Lead Door,1,220000
X-Ray Room,4,Lead Gloves,1,6500
X-Ray Room,5,Lead Gown (0.5 mm Double),1,26000
Ultrasound Room,1,Ultrasound Machine with 3 Probes,1,1600000
Ultrasound Room,2,Examination Couch,1,13500
Ultrasound Room,3,Set of waste bins,1,4500
Ultrasound Room,4,Stepping Stool,1,3500
NICU,1,Baby Cot,2,16000
NICU,2,Baby Incubator,1,350000
NICU,3,Patient Monitor (Adult/Paed/Neonatal),1,200000
NICU,4,Set of waste bins,1,4500
NICU,5,Instrument Trolley,1,13500
NICU,7,Drip Stand,1,3500
NICU,8,Radiant warmer with Resuscitaire,1,250000
NICU,9,Phototherapy Light,1,120000
NICU,10,Bubble CPAP Pumani,1,260000
NICU,11,Double Bottle Suction Machine,1,25000
Delivery Room,1,Hydraulic Delivery Bed,2,250000
Delivery Room,2,Fetal Doppler,1,8500
Delivery Room,3,MVA Kit,1,5500
Delivery Room,4,Set of waste bins,1,4500
Delivery Room,5,Two Bottle Suction Machine,1,25000
Delivery Room,6,Infant Warmer with Phototherapy,1,250000
Delivery Room,7,Stepping Stool,1,3500
Delivery Room,8,KIWI Vacuum Extractor,1,15500
Delivery Room,9,Dual Flow Oxygen Concentrator (5l),1,65000
Delivery Room,10,Digital Baby Scale,1,9500
Delivery Room,11,LED Examination Light,1,13500
Delivery Room,12,Minor Delivery Set,1,6500
Delivery Room,13,Baby Cot,1,18000
Delivery Room,14,Major Delivery Set,1,15800
Inpatient Ward,1,Double Crank Bed (ABS),60,35000
Inpatient Ward,3,Pillow with Mackintosh,60,650
Inpatient Ward,4,Cellular Blanket,60,2300
Inpatient Ward,5,Bedsheets (Pair),60,1200
Inpatient Ward,6,Bedside Cabinet (ABS),60,9000
Inpatient Ward,7,Drip Stand,5,3500
Inpatient Ward,8,Two Bottle Suction Machine,1,25000
Inpatient Ward,9,Littmann Stethoscope Classic II,1,3800
Inpatient Ward,10,Vital Sign Monitor with trolly,1,80000
Inpatient Ward,11,Linen Trolley,1,25000
Inpatient Ward,12,Oxygen Cylinder 1.36 m3,1,20000
